Pid Tid Torder Res Dcls Did Time Correct Ans Key ec1 ec2 ec3 ec4 ec5
3 1 14 3 3 4 47 0 3 2 0.085497 0.200806 31 0.286302 13 
3 1 15 1 3 5 18 1 1 1 0.195103 0.482067 30 0.286964 32 
3 1 16 2 3 1 23 1 1 1 0.192640 0.358264 18 0.165624 10 
3 1 17 5 3 2 19 1 1 1 0.115463 0.264165 4 0.148703 2 
3 1 18 4 3 3 13 1 1 1 0.198277 0.378055 40 0.179779 21 
3 1 19 3 3 4 54 1 2 2 0.062667 0.225380 10 0.288046 14 
3 1 20 1 3 5 44 0 3 1 0.175807 0.450275 18 0.274468 31 
3 1 21 2 2 1 49 0 1 2 0.058659 0.196300 83 0.254960 25 
3 1 22 5 2 2 75 0 3 2 0.016169 0.180891 7 0.197060 17 
3 1 23 4 2 3 27 1 2 2 0.114139 0.323851 58 0.437990 74 
3 1 24 3 2 4 22 1 2 2 0.113814 0.205176 64 0.318990 60 
3 1 25 1 2 5 29 1 1 1 0.147578 0.386853 125 0.239275 258 
3 1 26 2 2 1 58 0 2 1 0.219809 0.383059 6 0.163250 12 
3 1 27 5 2 2 12 0 3 1 0.036410 0.237712 27 0.201303 20 
3 1 28 4 2 3 15 1 1 1 0.169492 0.353727 55 0.184235 27 
3 1 29 3 2 4 37 1 2 2 0.114287 0.217708 54 0.331995 70 
3 1 30 1 2 5 38 1 1 1 0.123905 0.371128 94 0.247224 130 
3 2 31 2 1 1 97 1 2 2 44 0 0 0 0
3 2 32 5 1 2 80 1 2 2 3 0 0 0 0
3 2 33 4 1 3 49 1 3 3 8 0 0 0 0
3 2 34 3 1 4 64 1 3 3 13 0 0 0 0
3 2 35 1 1 5 34 1 2 2 20 0 0 0 0
3 2 36 2 1 1 60 1 2 2 40 0 0 0 0
3 2 37 5 1 2 19 1 2 2 5 0 0 0 0
3 2 38 4 1 3 61 1 3 3 12 0 0 0 0
3 2 39 3 1 4 23 1 3 3 6 0 0 0 0
3 2 40 1 1 5 61 1 2 2 24 0 0 0 0
3 2 41 2 3 1 23 1 2 2 44 0 0 0 0
3 2 42 5 3 2 26 1 2 2 2 0 0 0 0
3 2 43 4 3 3 60 1 3 3 8 0 0 0 0
3 2 44 3 3 4 19 1 3 3 13 0 0 0 0
3 2 45 1 3 5 14 1 2 2 20 0 0 0 0
3 2 46 2 3 1 17 1 2 2 40 0 0 0 0
3 2 47 5 3 2 22 1 2 2 3 0 0 0 0
3 2 48 4 3 3 15 1 3 3 12 0 0 0 0
3 2 49 3 3 4 25 1 3 3 6 0 0 0 0
3 2 50 1 3 5 10 1 2 2 22 0 0 0 0
3 2 51 2 2 1 33 1 2 2 44 0 0 0 0
3 2 52 5 2 2 54 1 2 2 3 0 0 0 0
3 2 53 4 2 3 34 1 3 3 8 0 0 0 0
